Relatório Atividades;;;;;;;
;;;;;;;
Gerado em: 03/07/2026 10:15:49;;;;;;;
;;;;;;;
Detalhamento: Atividade;;;;;;;
;;;;;;;
UF filtrada: Ignorado (detalhamento por Atividade);;;;;;;
;;;;;;;
Caderno filtrado: Ignorado;;;;;;;
;;;;;;;
Atividades: Todas as atividades;;;;;;;
;;;;;;;
Atividade;Total de perfis;Básicos;Completos;Campanhas;Capa;Tel. a atualizar;E-mails a atualizar
BENEFICIAMENTO DE CAFÉ;126;126;0;0;0;3;10
BENEFICIAMENTO DE CARVÃO MINERAL;11;11;0;0;0;0;1
BENEFICIAMENTO DE GESSO E CAULIM ASSOCIADO À EXTRAÇÃO;30;30;0;0;0;0;1
BENEFICIAMENTO DE MINÉRIO DE ESTANHO;12;12;0;0;0;0;4
BENEFICIAMENTO DE MINÉRIO DE MANGANÊS;6;6;0;0;0;0;0
BENEFICIAMENTO DE MINÉRIO DE METAIS PRECIOSOS;22;22;0;0;0;0;4
BENEFICIAMENTO DE MINÉRIOS DE COBRE, CHUMBO, ZINCO E OUTROS MINERAIS METÁLICOS NÃO FERROSOS;4;4;0;0;0;0;1
BIBLIOTECAS E ARQUIVOS;110;110;0;0;0;0;12
BRITAMENTO DE PEDRAS, EXCETO ASSOCIADO À EXTRAÇÃO;1090;1090;0;0;0;24;88
CABELEIREIROS E INSTITUTOS DE BELEZA;1;0;1;0;0;1;0
CABELEIREIROS, MANICURE E PEDICURE;878189;878189;0;0;0;8136;118463
CACAU;59;59;0;0;0;0;2
CAJU;22;22;0;0;0;0;6
CAMPINGS;1336;1336;0;0;0;8;178
CANA DE AÇUCAR;415;415;0;0;0;4;14
CANTINAS - SERVIÇOS DE ALIMENTAÇÃO PRIVATIVOS;10457;10457;0;0;0;115;1294
CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;303;303;0;0;0;1;21
CARGA E DESCARGA;36221;36221;0;0;0;399;3154
CARTÓRIOS;1;1;0;0;0;0;1
CARTÕES DE VISITA;1;1;0;0;0;1;0
CASAS DE BINGO;10;10;0;0;0;2;2
CASAS DE FESTAS E EVENTOS;24363;24363;0;0;0;172;2416
CASAS LOTÉRICAS;9428;9428;0;0;0;128;2042
CAÇA E SERVIÇOS RELACIONADOS;10;10;0;0;0;0;2
CEBOLA;16;16;0;0;0;0;4
CELULARES - ACESSÓRIOS;1;0;1;0;0;1;0
CENTROS DE APOIO A PACIENTES COM CÂNCER E COM AIDS;5;5;0;0;0;0;1
CENTROS DE ASSISTÊNCIA PSICOSSOCIAL;197;197;0;0;0;1;7
CERTIFICAÇÃO DIGITAL;1;1;0;0;0;1;0
CHAVEIROS;17517;17517;0;0;0;154;2415
CHOCOLATES - ATAC E FAB;1;1;0;0;0;1;0
CINEMA EXIBIÇÃO;377;377;0;0;0;2;62
CLINICA MÉDICA AMBULATORIAL RESTRITA A CONSULTAS;84034;84034;0;0;0;1524;5049
CLUBES SOCIAIS, ESPORTIVOS E SIMILARES;1414;1414;0;0;0;4;156
CLÍNICAS E RESIDÊNCIAS GERIÁTRICAS;596;596;0;0;0;3;68
COLETA DE CASTANHA-DO-PARÁ EM FLORESTAS NATIVAS;10;10;0;0;0;0;1
COLETA DE LÁTEX EM FLORESTAS NATIVAS;77;77;0;0;0;0;2
COLETA DE OUTROS PRODUTOS AQUÁTICOS DE ÁGUA DOCE;12;12;0;0;0;0;6
COLETA DE OUTROS PRODUTOS MARINHOS;1;1;0;0;0;0;0
COLETA DE PALMITO EM FLORESTAS NATIVAS;3;3;0;0;0;0;0
COLETA DE PRODUTOS NÃO MADEIREIROS NÃO ESPECIFICADOS ANTERIORMENTE EM FLORESTAS NATIVAS;109;109;0;0;0;0;20
COLETA DE RESÍDUOS NÃO PERIGOSOS;16835;16835;0;0;0;117;2590
COLETA DE RESÍDUOS PERIGOSOS;535;535;0;0;0;7;80
COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;93760;93760;0;0;0;972;12956
COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;68291;68291;0;0;0;465;12043
COMISSARIA DE DESPACHOS;707;707;0;0;0;8;46
COMPRA E VENDA DE IMÓVEIS PRÓPRIOS;5056;5056;0;0;0;54;496
COMPRAS E SERVIÇOS;93626;93626;0;0;0;967;4722
COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;3572;3572;0;0;0;26;451
COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;14949;14949;0;0;0;125;1712
COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS;2152;2152;0;0;0;23;306
COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS;1464;1464;0;0;0;11;157
